Library,Dataset,Method,Build_Time,Search_Time,Memory_MB,Accuracy,Avg_Distance
FAISS,small,IndexFlatL2,0.00013375282287597656,0.0017023086547851562,0.48828125,1.0,267.6693
FAISS,small,IndexIVFFlat,0.006709098815917969,0.0004899501800537109,0.48828125,0.9750000000000003,267.67596
FAISS,small,IndexHNSWFlat,0.009156227111816406,0.00025963783264160156,0.6103515625,0.9370000000000003,267.93726
FAISS,medium,IndexFlatL2,0.0028765201568603516,0.006857395172119141,9.765625,1.0,544.8692
FAISS,medium,IndexIVFFlat,0.06144380569458008,0.0013532638549804688,9.765625,0.893,545.8408
FAISS,medium,IndexHNSWFlat,0.25327515602111816,0.0011222362518310547,10.986328125,0.7519999999999999,550.6749
FAISS,large,IndexFlatL2,0.023105621337890625,0.02383899688720703,73.2421875,1.0,869.6079
FAISS,large,IndexIVFFlat,0.27742791175842285,0.01734137535095215,73.2421875,0.871,871.10406
FAISS,large,IndexHNSWFlat,11.953155755996704,0.003643035888671875,79.345703125,0.4850000000000001,894.75464
hnswlib,small,Balanced,0.021684885025024414,0.00382232666015625,0.6103515625,Approx,299.1048
hnswlib,small,High_Accuracy,0.03619647026062012,0.00795602798461914,0.6103515625,Approx,298.94525
hnswlib,small,Fast_Build,0.0180051326751709,0.002062082290649414,0.6103515625,Approx,299.78424
hnswlib,medium,Balanced,0.4822988510131836,0.014281272888183594,10.986328125,Approx,608.78143
hnswlib,medium,High_Accuracy,0.7150359153747559,0.01666736602783203,10.986328125,Approx,599.98035
hnswlib,medium,Fast_Build,0.2823524475097656,0.0049474239349365234,10.986328125,Approx,607.67615
hnswlib,large,Balanced,6.055517196655273,0.02536749839782715,79.345703125,Approx,963.2989
hnswlib,large,High_Accuracy,9.79573106765747,0.06507563591003418,79.345703125,Approx,952.43036
hnswlib,large,Fast_Build,2.7095680236816406,0.00814676284790039,79.345703125,Approx,977.18463
